"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","No. of Contracts","Funds at Close","Margin Req.","Strategy","Gap","Movement","Max Profit","Max Loss"
"2024-07-01","11:00:00",5454.51,"1 Jul 1 5430 P STO 3.60 | 1 Jul 1 5475 C STO 3.30",690,5475.09,"2024-07-01","16:00:00",9,"Expired",681,1,143821,107041.2,"0dte_strangle_20delta_1100 ",10.6,-16.57,98.7,-8.7
"2024-06-28","11:00:00",5507.08,"1 Jun 28 5470 P STO 1.30 | 1 Jun 28 5540 C STO 1.05",235,5460.48,"2024-06-28","16:00:00",952,"Expired",-717,1,143140,106849.6,"0dte_strangle_10delta_1100",5.61,18.6,21.28,-725.53
"2024-06-28","11:00:00",5507.08,"1 Jun 28 5480 P STO 2.25 | 1 Jun 28 5535 C STO 1.60",385,5460.48,"2024-06-28","16:00:00",1952,"Expired",-1567,1,143857,107433.6,"0dte_strangle_15delta_1100",5.61,18.6,10.39,-631.17
"2024-06-28","11:00:00",5507.08,"1 Jun 28 5485 P STO 2.95 | 1 Jun 28 5530 C STO 2.35",530,5460.48,"2024-06-28","16:00:00",2452,"Expired",-1922,1,145424,107933.6,"0dte_strangle_20delta_1100 ",5.61,18.6,9.43,-520.75
"2024-06-27","15:15:00",5478.04,"1 Jun 28 5430 P STO 1.55 | 1 Jun 28 5525 C STO 1.75",330,5460.48,"2024-06-28","16:00:00",0,"Expired",330,1,147346,104864.8,"1dte_strangle_10delta_1515",-4.31,4.45,100,-212.12
"2024-06-27","15:15:00",5478.04,"1 Jun 28 5440 P STO 2.60 | 1 Jun 28 5515 C STO 3.10",570,5460.48,"2024-06-28","16:00:00",0,"Expired",570,1,147016,105864.8,"1dte_strangle_15delta_1515",-4.31,4.45,100,-188.6
"2024-06-27","15:15:00",5478.04,"1 Jun 28 5450 P STO 4.25 | 1 Jun 28 5515 C STO 3.10",735,5460.48,"2024-06-28","16:00:00",0,"Expired",735,1,146446,106756.8,"1dte_strangle_20delta_1515",-4.31,4.45,100,-125.85
"2024-06-27","11:00:00",5480.77,"1 Jun 27 5450 P STO 1.15 | 1 Jun 27 5505 C STO 1.20",235,5482.87,"2024-06-27","16:00:00",0,"Expired",235,1,145711,107192.4,"0dte_strangle_10delta_1100",-4.31,7.18,100,-34.04
"2024-06-27","11:00:00",5480.77,"1 Jun 27 5455 P STO 1.55 | 1 Jun 27 5500 C STO 1.95",350,5482.87,"2024-06-27","16:00:00",0,"Expired",350,1,145476,107692.4,"0dte_strangle_15delta_1100",-4.31,7.18,100,-27.14
"2024-06-27","11:00:00",5480.77,"1 Jun 27 5460 P STO 2.10 | 1 Jun 27 5500 C STO 1.95",405,5482.87,"2024-06-27","16:00:00",0,"Expired",405,1,145126,107692.4,"0dte_strangle_20delta_1100 ",-4.31,7.18,100,-40.74
