book,open_date,pnl,prediction,fold,keep
CALLS_1DTE_1515,2025-07-29,515.0,-536.0323403688751,8,False
CALLS_1DTE_1515,2025-07-30,505.0,-521.5710099907859,8,False
CALLS_1DTE_1515,2025-07-31,530.0,-528.209247132632,8,False
CALLS_1DTE_1515,2025-08-01,-455.0,-514.4784564342898,8,False
CALLS_1DTE_1515,2025-08-04,515.0,-502.2900020773329,8,False
CALLS_1DTE_1515,2025-08-05,-515.0,-517.1317278749491,8,False
CALLS_1DTE_1515,2025-08-06,535.0,-529.3913005520686,8,False
CALLS_1DTE_1515,2025-08-07,-465.0,-510.62374216317744,8,False
CALLS_1DTE_1515,2025-08-08,445.0,-530.0043401693611,8,False
CALLS_1DTE_1515,2025-08-11,-465.0,-518.9029039505788,8,False
CALLS_1DTE_1515,2025-08-12,-520.0,-519.7616921862902,8,False
CALLS_1DTE_1515,2025-08-13,-354.0,-530.5442025322673,8,False
CALLS_1DTE_1515,2025-08-14,550.0,-539.0603377993143,8,False
CALLS_1DTE_1515,2025-08-15,455.0,-529.5616729019904,8,False
CALLS_1DTE_1515,2025-08-18,445.0,-558.6358164436424,8,False
CALLS_1DTE_1515,2025-08-19,475.0,-524.0235176504698,8,False
CALLS_1DTE_1515,2025-08-20,525.0,-541.9589193907176,8,False
CALLS_1DTE_1515,2025-08-21,-470.0,-524.4077129699355,8,False
CALLS_1DTE_1515,2025-08-22,475.0,-535.710744180279,8,False
CALLS_1DTE_1515,2025-08-25,-550.0,-536.1974901940376,8,False
CALLS_1DTE_1515,2025-08-26,-540.0,-543.3212706818609,8,False
CALLS_1DTE_1515,2025-08-27,-470.0,-539.3026201537142,8,False
CALLS_1DTE_1515,2025-08-28,535.0,-540.765233917604,8,False
CALLS_1DTE_1515,2025-08-29,515.0,-546.6261931904168,8,False
CALLS_1DTE_1515,2025-09-02,-490.0,-540.5193861767744,8,False
CALLS_1DTE_1515,2025-09-03,-490.0,-504.9407729834507,8,False
CALLS_1DTE_1515,2025-09-04,530.0,-535.468770315962,8,False
CALLS_1DTE_1515,2025-09-05,-525.0,-515.7743234302484,8,False
CALLS_1DTE_1515,2025-09-08,-490.0,-508.8265302728333,8,False
CALLS_1DTE_1515,2025-09-09,-485.0,-524.5778282805953,8,False
CALLS_1DTE_1515,2025-09-10,-480.0,-523.2833676814205,8,False
CALLS_1DTE_1515,2025-09-11,550.0,-512.4037252943609,8,False
CALLS_1DTE_1515,2025-09-12,-520.0,-540.3647635190921,8,False
CALLS_1DTE_1515,2025-09-15,480.0,-524.2559168534667,8,False
CALLS_1DTE_1515,2025-09-16,510.0,-523.7446955564911,8,False
PUTS_0DTE_11,2023-01-25,-5640.0,-5135.52177987313,1,False
PUTS_0DTE_11,2023-01-26,415.0,-5950.137919520499,1,False
PUTS_0DTE_11,2023-01-27,440.0,-4277.047650667728,1,False
PUTS_0DTE_11,2023-01-30,-620.0,-4470.734646666038,1,False
PUTS_0DTE_11,2023-01-31,375.0,-1060.5572636607483,1,False
PUTS_0DTE_11,2023-02-01,-4970.0,-3968.4116068096014,1,False
PUTS_0DTE_11,2023-02-02,381.0,-2622.076531478933,1,False
PUTS_0DTE_11,2023-02-03,-550.0,-2645.0090098265964,1,False
PUTS_0DTE_11,2023-02-06,28.0,-4470.734646666038,1,False
PUTS_0DTE_11,2023-02-07,470.0,-4277.047650667728,1,False
PUTS_0DTE_11,2023-02-08,6056.0,-4284.1412311450695,1,False
PUTS_0DTE_11,2023-02-09,-595.0,-4822.810343822751,1,False
PUTS_0DTE_11,2023-02-10,400.0,-1854.0675526830619,1,False
PUTS_0DTE_11,2023-02-13,410.0,-1060.5572636607483,1,False
PUTS_0DTE_11,2023-02-14,440.0,-5729.431544509067,1,False
PUTS_0DTE_11,2023-02-15,11611.0,-5601.177157938635,1,False
PUTS_0DTE_11,2023-02-16,-620.0,-2773.2633963970275,1,False
PUTS_0DTE_11,2023-02-17,425.0,-5412.995564454903,1,False
PUTS_0DTE_11,2023-02-21,-580.0,-4136.6161083093175,1,False
PUTS_0DTE_11,2023-02-22,-5025.0,-4491.083404081828,1,False
PUTS_0DTE_11,2023-02-23,445.0,-5820.295354987304,1,False
PUTS_0DTE_11,2023-02-24,405.0,-5430.86501047081,1,False
PUTS_0DTE_11,2023-02-27,-640.0,-1566.2524913638435,1,False
PUTS_0DTE_11,2023-02-28,-550.0,-5913.683653899344,1,False
PUTS_0DTE_11,2023-03-01,4769.0,-4568.593880185591,1,False
PUTS_0DTE_11,2023-03-02,365.0,-122.36166453444496,1,False
PUTS_0DTE_11,2023-03-03,380.0,104.68488930002256,1,False
PUTS_0DTE_11,2023-03-06,-605.0,-1437.998104793412,1,False
PUTS_0DTE_11,2023-03-07,-540.0,-4763.217715811346,1,False
PUTS_0DTE_11,2023-03-08,-2467.0,-4833.9311364783125,1,False
PUTS_0DTE_11,2023-03-09,-645.0,-3837.3682690972128,1,False
PUTS_0DTE_11,2023-03-10,-570.0,-6096.928282208507,1,False
PUTS_0DTE_11,2023-03-13,-570.0,-1432.4721845654622,1,False
PUTS_0DTE_11,2023-03-14,-151.0,-1208.4360384260342,1,False
PUTS_0DTE_11,2023-03-15,-7505.0,-7974.4379940593935,1,False
PUTS_0DTE_11,2023-03-16,390.0,-140.16075646288542,1,False
PUTS_0DTE_11,2023-03-17,139.0,-6330.006416999311,1,False
PUTS_0DTE_11,2023-03-20,390.0,-1657.8574759067124,1,False
PUTS_0DTE_11,2023-03-21,430.0,-6151.34458979375,1,False
PUTS_0DTE_11,2023-03-22,-5410.0,-1693.2532788734063,1,False
PUTS_0DTE_11,2023-03-23,-630.0,-1190.5665924101265,1,False
PUTS_0DTE_11,2023-03-24,420.0,-6030.17814092735,1,False
PUTS_0DTE_11,2023-03-27,178.0,-6006.8887705082725,1,False
PUTS_0DTE_11,2023-03-28,370.0,-4894.587037956626,1,False
PUTS_0DTE_11,2023-03-29,-4480.0,-6023.090203223318,1,False
PUTS_0DTE_11,2023-03-30,340.0,-6021.502025260555,1,False
PUTS_0DTE_11,2023-03-31,345.0,280.2718318387009,1,False
PUTS_0DTE_11,2023-04-03,405.0,-5827.29077802862,1,False
PUTS_0DTE_11,2023-04-04,-585.0,-4460.629985763103,1,False
PUTS_0DTE_11,2023-04-05,-4385.0,-4373.598968145616,1,False
PUTS_0DTE_11,2023-04-06,340.0,-5729.431544509067,1,False
PUTS_0DTE_11,2023-04-10,400.0,-5729.431544509067,1,False
PUTS_0DTE_11,2023-04-11,355.0,-6147.8521276970305,1,False
PUTS_0DTE_11,2023-04-12,-4155.0,-4636.216928301782,1,False
PUTS_0DTE_11,2023-04-13,360.0,104.68488930002256,1,False
PUTS_0DTE_11,2023-04-14,400.0,-4553.980625433309,1,False
PUTS_0DTE_11,2023-04-17,355.0,-6078.665464642148,1,False
PUTS_0DTE_11,2023-04-18,385.0,-4636.216928301782,1,False
PUTS_0DTE_11,2023-04-19,-3610.0,-1725.8131661126304,1,False
PUTS_0DTE_11,2023-04-20,-615.0,-1644.4090630871985,1,False
PUTS_0DTE_11,2023-04-21,375.0,-4647.223401284072,1,False
PUTS_0DTE_11,2023-04-24,420.0,-6078.665464642148,1,False
PUTS_0DTE_11,2023-04-25,-625.0,-4284.1412311450695,1,False
PUTS_0DTE_11,2023-04-26,-5110.0,-4816.598585589475,1,False
PUTS_0DTE_11,2023-04-27,375.0,104.68488930002256,1,False
PUTS_0DTE_11,2023-04-28,420.0,-1342.3226633143613,1,False
PUTS_0DTE_11,2023-05-01,-665.0,-2693.8532256128037,1,False
PUTS_0DTE_11,2023-05-02,390.0,-4583.62265031626,1,False
PUTS_0DTE_11,2023-05-03,-4655.0,-4647.223401284072,1,False
PUTS_0DTE_11,2023-05-04,420.0,-4367.38720991234,1,False
PUTS_0DTE_11,2023-05-05,340.0,104.68488930002256,1,False
PUTS_0DTE_11,2023-05-08,390.0,-6018.009563163835,1,False
PUTS_0DTE_11,2023-05-09,-198.0,-5599.588979975872,1,False
PUTS_0DTE_11,2023-05-10,-3760.0,-4642.428686535058,1,False
PUTS_0DTE_11,2023-05-11,435.0,-5899.070399147062,1,False
PUTS_0DTE_11,2023-05-12,318.0,-4816.598585589475,1,False
PUTS_0DTE_11,2023-05-15,300.0,-5831.301827969593,1,False
PUTS_0DTE_11,2023-05-16,-685.0,-5682.834958743142,1,False
PUTS_0DTE_11,2023-05-17,-3700.0,-4396.987386946056,1,False
PUTS_0DTE_11,2023-05-18,405.0,-1774.657381898839,1,False
PUTS_0DTE_11,2023-05-19,-620.0,-1390.665548825165,1,False
PUTS_0DTE_11,2023-05-22,310.0,-6223.121283927626,1,False
PUTS_0DTE_11,2023-05-23,-620.0,-4485.34790141832,1,False
PUTS_0DTE_11,2023-05-24,-4820.0,-3379.2789696775176,2,False
PUTS_0DTE_11,2023-05-25,445.0,-2669.006348912691,2,False
PUTS_0DTE_11,2023-05-26,390.0,-194.8513295530005,2,False
PUTS_0DTE_11,2023-05-30,-98.0,-4470.441717646298,2,False
PUTS_0DTE_11,2023-05-31,-3725.0,-2555.455513910662,2,False
PUTS_0DTE_11,2023-06-01,325.0,-397.95684911286725,2,False
PUTS_0DTE_11,2023-06-02,325.0,-827.6975403690296,2,False
PUTS_0DTE_11,2023-06-05,-590.0,-3420.033621549835,2,False
PUTS_0DTE_11,2023-06-06,285.0,-1165.2958999420543,2,False
PUTS_0DTE_11,2023-06-07,-3355.0,-3188.840876243997,2,False
PUTS_0DTE_11,2023-06-08,300.0,-832.3582845668983,2,False
PUTS_0DTE_11,2023-06-09,-595.0,-1145.2280232647724,2,False
PUTS_0DTE_11,2023-06-12,415.0,-3131.0432476846763,2,False
PUTS_0DTE_11,2023-06-13,440.0,-1667.6006500162737,2,False
PUTS_0DTE_11,2023-06-14,1073.0,-635.3195350191621,2,False
PUTS_0DTE_11,2023-06-15,365.0,-1040.5553344164325,2,False
PUTS_0DTE_11,2023-06-16,-550.0,-3831.631488945161,2,False
PUTS_0DTE_11,2023-06-20,390.0,-2311.753060675127,2,False
PUTS_0DTE_11,2023-06-21,-3085.0,-451.5690787968906,2,False
PUTS_0DTE_11,2023-06-22,365.0,-3023.7954662070783,2,False
PUTS_0DTE_11,2023-06-23,153.0,-2218.5814583525384,2,False
PUTS_0DTE_11,2023-06-26,-655.0,-2795.5336549959447,2,False
PUTS_0DTE_11,2023-06-27,370.0,-550.8081653927443,2,False
PUTS_0DTE_11,2023-06-28,-2975.0,-1180.2868615854109,2,False
PUTS_0DTE_11,2023-06-29,385.0,-3208.5020493523202,2,False
PUTS_0DTE_11,2023-06-30,315.0,-1075.6498831383603,2,False
PUTS_0DTE_11,2023-07-03,365.0,-3448.886855020283,2,False
PUTS_0DTE_11,2023-07-05,-3345.0,-1395.757660387077,2,False
PUTS_0DTE_11,2023-07-06,370.0,-3225.753047273413,2,False
PUTS_0DTE_11,2023-07-07,-575.0,-1288.6361582071627,2,False
PUTS_0DTE_11,2023-07-10,370.0,-3264.043409616261,2,False
PUTS_0DTE_11,2023-07-11,365.0,-3376.076853004829,2,False
PUTS_0DTE_11,2023-07-12,-3140.0,-1310.8081848838956,2,False
PUTS_0DTE_11,2023-07-13,300.0,-3670.731417242714,2,False
PUTS_0DTE_11,2023-07-14,-588.0,-3838.521113718841,2,False
PUTS_0DTE_11,2023-07-17,385.0,-3108.1221583450665,2,False
PUTS_0DTE_11,2023-07-18,330.0,-725.4027053555265,2,False
PUTS_0DTE_11,2023-07-19,-3715.0,-4067.329822979641,2,False
PUTS_0DTE_11,2023-07-20,-615.0,-1775.0905363579598,2,False
PUTS_0DTE_11,2023-07-21,-481.0,-3820.4983278122695,2,False
PUTS_0DTE_11,2023-07-24,299.0,-866.7726116054213,2,False
PUTS_0DTE_11,2023-07-25,375.0,-3053.206556572407,2,False
PUTS_0DTE_11,2023-07-26,1136.0,-976.1829525782277,2,False
PUTS_0DTE_11,2023-07-27,-685.0,-3508.240541476734,2,False
PUTS_0DTE_11,2023-07-28,335.0,-1240.7177475716692,2,False
PUTS_0DTE_11,2023-07-31,305.0,-3835.7004134982303,2,False
PUTS_0DTE_11,2023-08-01,345.0,-716.529060918259,2,False
PUTS_0DTE_11,2023-08-02,-1002.0,-3300.446006808975,2,False
PUTS_0DTE_11,2023-08-03,355.0,-2289.2776623286018,2,False
PUTS_0DTE_11,2023-08-04,-635.0,-1192.4882135211737,2,False
